Policy,Govern,Identify,Protect,Detect,Respond,Recover,DocumentType,Reasoning
2cdfbc5a-64bb-4c70-9925-db7e4f63019f.pdf,0,0,0,0,0,0,Meeting Minutes,MCE Management Council Special Session (Jul 2020). Correctional enterprises operations meeting. No cybersecurity content.
35a86486-3ed0-4e94-8a93-72644e187279.pdf,0,0,0,0,0,0,Meeting Agenda,Maryland Apprenticeship & Training Council Supplemental Agenda (Jan 2025). Lists 'Cyber Security Technician' as an apprenticeship occupation but contains no cybersecurity policy content.
4cc680a2-3dd5-4020-aaef-346559eaffee.pdf,0,0,0,0,0,0,Meeting Agenda,"Town of Kensington Council Meeting (Oct 10, 2024). Municipal meeting agenda and documents. No cybersecurity content."
56a4821c-1064-4144-940c-170ff3cd1612.pdf,0,0,0,0,0,0,Meeting Minutes,MCE Management Council Meeting Minutes (Mar 2018). Correctional enterprises operations and financials. No cybersecurity content.
97c51d56-6691-4349-a926-3873852e2c51.pdf,0,0,0,0,0,0,Meeting Minutes,MCE Management Council Meeting Minutes (Sep 2021). Operations update including ERP infrastructure upgrade; IT context but no cybersecurity policy content.
9189cf3d-fec6-4172-8f5b-f2ab92b1f113.pdf,0,0,0,0,0,0,Financial Statement,Town of Kensington Financial Statements FY2024 and FY2023. Audited municipal financial statements. No cybersecurity content.
9ae7b499-22a0-4535-9e7d-3bb899f8c5a0.pdf,0,0,0,0,0,0,Municipal Code,"Town of Kensington Code of Ordinances (full version, 140 pages). Municipal law codification. No cybersecurity policy content."
9cbf23f9-4e46-4900-a169-222b1c1ec17f.pdf,0,0,0,0,0,0,Procurement RFP,Town of Kensington RFP for Bridge Engineering Design and Construction Management (Dec 2022). Civil engineering procurement. No cybersecurity content.
af348882-aa0c-4882-a61c-1074246ecd14.pdf,0,0,0,0,0,0,Unclassifiable,Scanned/image document with garbled OCR output. Cannot extract meaningful text. No classifiable cybersecurity content.
annualreport2024-compressed.pdf,0,0,0,0,0,0,Annual Report,Annual report document (image-heavy). Extracted text is minimal. No discernible cybersecurity policy content in accessible text.
b0c0eb31-4fcb-4a22-92fd-ea5822647891.pdf,0,0,0,0,0,0,Unclassifiable,Scanned document with no extractable text (0 chars). Cannot classify.
b6821233-35a3-4a8e-92f7-809f28d35a61.pdf,0,0,0,0,0,0,Financial Statement,Town of Kensington Financial Statements FY2025. Audited municipal financial statements. No cybersecurity content.
Business Plan 2019 (1)-compressed.pdf,0,0,0,0,0,0,Business Plan,"MCE Business Plan 2019 (full version). Correctional industry plan. Keyword hits on 'training', 'vendor', 'contractor' reflect correctional program context, not cybersecurity. No cybersecurity content."
Business Plan 2020 12_09-compressed.pdf,0,0,0,0,0,0,Business Plan,MCE Business Plan 2020. Correctional industry operations and financials. High keyword scores (Protect=37) are false positives from 'training' appearing in workforce/vocational context. No cybersecurity content.
c68baa0c-8afd-4088-9462-e3cda376a615.pdf,0,0,0,0,0,0,Unclassifiable,Scanned document with no extractable text (0 chars). Cannot classify.
Connecticut-Avenue-TLC-report-FINAL-Package-compressed.pdf,0,0,0,0,0,0,Urban Planning Report,Connecticut Avenue Technical/Land-Use Committee report. Urban planning and community development document. No cybersecurity content.
ctecomm-ert-report-cecil-county24-25final-compressed.pdf,0,0,0,0,0,0,Education Report,"GWDB Career and Technical Education Expert Review Team Post-Visit Report, Cecil County Public Schools (Feb 2026). Education program review. No cybersecurity policy content."
empguide-compressed.pdf,0,0,0,0,0,0,Reference Guide,"Maryland Dept of Labor Employers' Quick Reference Guide (Unemployment Insurance). HR/employment law reference guide. Keyword hits on 'vendor'/'contractor' reflect employer-employee context, not cybersecurity."
f5ca30b5-b88e-4a55-bb56-690c0181674d.pdf,0,0,0,0,0,0,Meeting Minutes,MCE Customer Council Meeting Minutes (2016-2017). Correctional enterprises customer/business meeting minutes. No cybersecurity content.
MCE Business Report FY18 Combined-compressed.pdf,0,0,0,0,0,0,Business Report,MCE Annual Business Report FY2018. Correctional industry financials. No cybersecurity content.
MCE FY2016-FY2018 Business Plan-compressed.pdf,0,0,0,0,0,0,Business Plan,MCE Business Plan FY2016-FY2018. Correctional industry strategic plan. No cybersecurity content.
MCE Management Council Meeting Minutes FY23-compressed.pdf,0,0,0,0,0,0,Meeting Minutes,"MCE Management Council Minutes FY2023. Correctional enterprises operations. Keyword hits on 'vendor'/'contractor' are from procurement context, not cybersecurity. No cybersecurity content."
MCE Management Council Meeting Minutes FY24-compressed.pdf,0,0,0,0,0,0,Meeting Minutes,MCE Management Council Minutes FY2024. Correctional enterprises operations. No cybersecurity content.
MCE Management Council Meeting Minutes FY25-compressed.pdf,0,0,0,0,0,0,Meeting Minutes,MCE Management Council Minutes FY2025. Correctional enterprises operations. No cybersecurity content.
mdpy2023wiaannrep-compressed.pdf,0,0,0,0,0,0,Annual Report,"Maryland WIOA Annual Report 2023. Workforce Innovation and Opportunity Act program outcomes. Keyword hit on 'governance' (GV=1 in keyword) refers to workforce program governance, not cybersecurity."
mpi4-13-compressed.pdf,0,0,0,0,0,0,Workforce Policy,Maryland Policy Issuance 04-2013 on WIA Youth Grants. Workforce development policy. No cybersecurity content.
Resolution-R-11-2023-ULI-TAP-compressed.pdf,0,0,0,0,0,0,Municipal Resolution,Resolution R-11-2023 authorizing ULI Technical Assistance Panel. Urban planning/development resolution. No cybersecurity content.
September-Journal-2021-a-web-compressed.pdf,0,0,0,0,0,0,Community Newsletter,Town of Kensington community events newsletter (September 2021). Community news and events. No cybersecurity content.
Town-of-Kensington-2022-Financial-Statements-compressed.pdf,0,0,0,0,0,0,Financial Statement,Town of Kensington Financial Statements 2022. Municipal audit report. No cybersecurity content.
Town-of-Kensington-FS-compressed.pdf,0,0,0,0,0,0,Financial Statement,Town of Kensington Financial Statements (additional year). Municipal audit report. No cybersecurity content.
Town-of-Kensington-TAP-Report-compressed.pdf,0,0,0,0,0,0,Urban Planning Report,Town of Kensington Technical Assistance Panel (TAP) Report. Urban planning and community development. No cybersecurity content.
