Policy,DocumentType,IsPolicy,Govern_KW,Identify_KW,Protect_KW,Detect_KW,Respond_KW,Recover_KW,Govern_KW_norm,Identify_KW_norm,Protect_KW_norm,Detect_KW_norm,Respond_KW_norm,Recover_KW_norm,Govern_AI,Identify_AI,Protect_AI,Detect_AI,Respond_AI,Recover_AI,KW_flagged,AI_flagged,Reasoning
mpi3-25-compressed.pdf,Workforce Policy,0,0,0,37,9,0,16,0,0,2,2,0,2,0,0,0,0,0,1,1,1,"QUEST Disaster Recovery Dislocated Worker Grant Policy (May 2025). A workforce development policy for workers displaced by natural disasters. RC=1: 'disaster recovery' is in the title and scope, but refers to economic/workforce recovery from natural disasters, not IT/cyber recovery. No cybersecurity content whatsoever. Keyword tools falsely flag this document due to the terms 'disaster recovery' and 'training' appearing in a non-cybersecurity context."
MD_Judicial_InfoSecurity_Policy.pdf,Cybersecurity Policy,1,10,2,35,6,0,17,2,1,2,2,0,2,2,2,2,2,2,2,1,1,"Maryland Judiciary Information Security Policy (Jan 2026). GV=2: CIO/ISO/CTO roles, AOC/CTechCom governance body, annual review requirement. ID=2: asset inventory, data classification, security categorization. PR=2: access control, authentication, configuration management, security education/awareness, media protection, physical/personnel security, DLP, SDLC. DE=2: audit and accountability, system integrity. RS=2: incident management (section 6.5). RC=2: disaster preparedness plan (section 6.4), backup plans (section 6.11), business continuity. Explicitly cites NIST and CIS Frameworks."
MCE Business Report FY18 Combined-compressed.pdf,Business Report,0,0,0,13,2,0,2,0,0,2,1,0,1,0,0,0,0,0,0,1,0,MCE Annual Business Report FY2018. Correctional industry financials. No cybersecurity content.
87bb47f3-ff2c-4353-a25e-d2c103b62a0c.pdf,Data Management Plan,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,"MD iMap Data Management Plan (Jan 2015). Geographic data governance document. GV=1: data governance structure and roles defined. ID=1: data inventory and classification aspects present. PR=1: data access controls referenced. DE/RS/RC=0: no monitoring, incident response, or recovery content. Not a cybersecurity policy; data management with security elements."
Business Plan 2019 (1)-compressed.pdf,Business Plan,0,0,0,24,4,1,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,"MCE Business Plan 2019 (full version). Correctional industry plan. Keyword hits on 'training', 'vendor', 'contractor' reflect correctional program context, not cybersecurity. No cybersecurity content."
97c51d56-6691-4349-a926-3873852e2c51.pdf,Meeting Minutes,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,MCE Management Council Meeting Minutes (Sep 2021). Operations update including ERP infrastructure upgrade; IT context but no cybersecurity policy content.
1ef3c6b9-1d3f-4ddf-ba57-73d602ebf5f3.pdf,Meeting Minutes,0,0,0,43,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,"Maryland Apprenticeship and Training Council Meeting Minutes (Jan 14, 2025). Workforce apprenticeship program minutes. No cybersecurity content."
56a4821c-1064-4144-940c-170ff3cd1612.pdf,Meeting Minutes,0,0,0,17,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,MCE Management Council Meeting Minutes (Mar 2018). Correctional enterprises operations and financials. No cybersecurity content.
September-Journal-2021-a-web-compressed.pdf,Community Newsletter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Town of Kensington community events newsletter (September 2021). Community news and events. No cybersecurity content.
2023-04-10-Agenda-and-Documents-compressed.pdf,Meeting Agenda,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Town of Kensington Council Meeting (Apr 10, 2023). Municipal meeting agenda and documents. No cybersecurity content."
2023-12-13-Agenda-and-Documents-compressed.pdf,Meeting Agenda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Town of Kensington Council Meeting (Dec 13, 2023). Municipal meeting agenda and documents. No cybersecurity content."
b0c0eb31-4fcb-4a22-92fd-ea5822647891.pdf,Unclassifiable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scanned document with no extractable text (0 chars). Cannot classify.
f5ca30b5-b88e-4a55-bb56-690c0181674d.pdf,Meeting Minutes,0,0,0,27,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,MCE Customer Council Meeting Minutes (2016-2017). Correctional enterprises customer/business meeting minutes. No cybersecurity content.
MD_DOIT_ContinuousMonitoring_Policy.pdf,Cybersecurity Policy,1,2,0,4,37,1,0,1,0,1,2,1,0,1,0,1,2,1,0,1,1,"State Continuous Monitoring Policy (MD-POL-208-01, 2026). Explicitly maps to NIST CSF 2.0 DE.CM and DE.AE. GV=1: SCISO/ISO roles and policy authority established. ID=0: no asset-management or broader risk-assessment content. PR=1: least-privilege enforcement and authentication monitoring cited within ZTA goals. DE=2: comprehensive network, system, physical-environment, personnel, and external-provider monitoring plus event-analysis and incident-declaration criteria. RS=1: incident declaration references MD-STD-308-IR but does not detail response procedures. RC=0: no recovery content."
MD_Procurement_Manual.pdf,Procurement Document,0,0,0,11,4,0,2,0,0,2,1,0,1,0,0,1,0,0,0,1,1,"State of Maryland Procurement Manual (2019). Primarily an administrative procurement guide. GV=0: no cybersecurity governance. ID=0: no asset identification. PR=1: vendor security requirements exist in the procurement context; IT contracts reference security obligations, but cybersecurity is secondary to the procurement process. DE/RS/RC=0: no detection, response, or recovery content."
Resolution-R-11-2023-ULI-TAP-compressed.pdf,Municipal Resolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Resolution R-11-2023 authorizing ULI Technical Assistance Panel. Urban planning/development resolution. No cybersecurity content.
2023-03-13-Agenda-and-Documents-compressed.pdf,Meeting Agenda,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Town of Kensington Council Meeting (Mar 13, 2023). Municipal meeting agenda and documents. No cybersecurity content."
mdpy2023wiaannrep-compressed.pdf,Annual Report,0,1,0,79,4,1,2,1,0,2,1,1,1,0,0,0,0,0,0,1,0,"Maryland WIOA Annual Report 2023. Workforce Innovation and Opportunity Act program outcomes. Keyword hit on 'governance' (GV=1 in keyword) refers to workforce program governance, not cybersecurity."
MCE Management Council Meeting Minutes FY23-compressed.pdf,Meeting Minutes,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,"MCE Management Council Minutes FY2023. Correctional enterprises operations. Keyword hits on 'vendor'/'contractor' are from procurement context, not cybersecurity. No cybersecurity content."
9ae7b499-22a0-4535-9e7d-3bb899f8c5a0.pdf,Municipal Code,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Town of Kensington Code of Ordinances (full version, 140 pages). Municipal law codification. No cybersecurity policy content."
Town-of-Kensington-FS-compressed.pdf,Financial Statement,0,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Town of Kensington Financial Statements (additional year). Municipal audit report. No cybersecurity content.
MCE Management Council Meeting Minutes FY24-compressed.pdf,Meeting Minutes,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,MCE Management Council Minutes FY2024. Correctional enterprises operations. No cybersecurity content.
MCE Management Council Meeting Minutes FY25-compressed.pdf,Meeting Minutes,0,0,0,12,0,0,6,0,0,2,0,0,2,0,0,0,0,0,0,1,0,MCE Management Council Minutes FY2025. Correctional enterprises operations. No cybersecurity content.
c68baa0c-8afd-4088-9462-e3cda376a615.pdf,Unclassifiable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scanned document with no extractable text (0 chars). Cannot classify.
1625df13-6b8e-4692-b06f-aab290812197.pdf,Meeting Agenda,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Town of Kensington Council Meeting Agenda (Aug 8, 2022). Administrative meeting agenda. No cybersecurity content."
2cdfbc5a-64bb-4c70-9925-db7e4f63019f.pdf,Meeting Minutes,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,MCE Management Council Special Session (Jul 2020). Correctional enterprises operations meeting. No cybersecurity content.
4cc680a2-3dd5-4020-aaef-346559eaffee.pdf,Meeting Agenda,0,0,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Town of Kensington Council Meeting (Oct 10, 2024). Municipal meeting agenda and documents. No cybersecurity content."
MD_DOIT_SystemNetworkSecurity_Policy.pdf,Cybersecurity Policy,1,2,1,0,0,0,0,1,1,0,0,0,0,1,1,2,1,0,2,0,1,"State System & Network Security Policy (MD-POL-207-01, 2026). Maps to NIST CSF 2.0 PR.PS (Platform Security) and PR.IR (Infrastructure Resilience). GV=1: governance structure and SCISO/ISO roles defined. ID=1: cybersecurity inventory management mandated (section 200.1.7). PR=2: configuration management, software/hardware security, audit logging, approved-software lists, secure SDLC, network segmentation. DE=1: audit logging supports detection. RS=0: no incident-response content. RC=2: resilience section explicitly addresses recovery from disruptions, load balancing, redundant storage, and geographically dispersed architecture."
annualreport2024-compressed.pdf,Annual Report,0,7,0,12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,Annual report document (image-heavy). Extracted text is minimal. No discernible cybersecurity policy content in accessible text.
MD_IT_SecurityManual.pdf,Cybersecurity Policy,1,33,35,201,79,69,36,2,2,2,2,2,2,2,2,2,2,2,2,1,1,"Maryland IT Security Manual v1.2 (2019), 200+ pages. The most comprehensive document in the corpus. GV=2: risk management, security authorization, planning, roles (AO, CISO, SO, IRT), procurement policy. ID=2: asset management, information classification, system security categorization, risk assessment. PR=2: access control, identification/authentication, encryption, awareness and training, configuration management, media protection, physical/personnel security. DE=2: audit and accountability, system and information integrity, continuous monitoring. RS=2: incident response (section 6.4), IT Incident Reporting Form (Appendix B), incident handling checklist (Appendix G). RC=2: contingency planning, disaster recovery, business continuity, backup plans."
Business Plan 2020 12_09-compressed.pdf,Business Plan,0,0,0,37,7,0,2,0,0,2,2,0,1,0,0,0,0,0,0,1,0,MCE Business Plan 2020. Correctional industry operations and financials. High keyword scores (Protect=37) are false positives from 'training' appearing in workforce/vocational context. No cybersecurity content.
ctecomm-ert-report-cecil-county24-25final-compressed.pdf,Education Report,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,"GWDB Career and Technical Education Expert Review Team Post-Visit Report, Cecil County Public Schools (Feb 2026). Education program review. No cybersecurity policy content."
35a86486-3ed0-4e94-8a93-72644e187279.pdf,Meeting Agenda,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Maryland Apprenticeship & Training Council Supplemental Agenda (Jan 2025). Lists 'Cyber Security Technician' as an apprenticeship occupation but contains no cybersecurity policy content.
9cbf23f9-4e46-4900-a169-222b1c1ec17f.pdf,Procurement RFP,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Town of Kensington RFP for Bridge Engineering Design and Construction Management (Dec 2022). Civil engineering procurement. No cybersecurity content.
MD_MSDE_AUP_2024.pdf,Cybersecurity Policy,1,0,0,6,9,0,1,0,0,2,2,0,1,1,0,2,0,0,0,1,1,"MSDE Cybersecurity Acceptable Use and Communications Policy v2.0 (Oct 2024). GV=1: CISO authority established, policy scope and applicability defined. ID=0: no asset management or risk assessment content. PR=2: focuses on acceptable use of systems, device management, access controls, and communications policy. DE=0: no monitoring or detection requirements. RS=0: no incident response procedures. RC=0: no recovery content."
mpi4-13-compressed.pdf,Workforce Policy,0,0,0,5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,Maryland Policy Issuance 04-2013 on WIA Youth Grants. Workforce development policy. No cybersecurity content.
Town-of-Kensington-TAP-Report-compressed.pdf,Urban Planning Report,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Town of Kensington Technical Assistance Panel (TAP) Report. Urban planning and community development. No cybersecurity content.
Town-of-Kensington-2022-Financial-Statements-compressed.pdf,Financial Statement,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Town of Kensington Financial Statements 2022. Municipal audit report. No cybersecurity content.
9189cf3d-fec6-4172-8f5b-f2ab92b1f113.pdf,Financial Statement,0,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Town of Kensington Financial Statements FY2024 and FY2023. Audited municipal financial statements. No cybersecurity content.
